"","X","ID","y","Number.of.Cylinders","material.grade","Lubrication","Valve.Type","Bearing.Vendor","Fuel.Type","Compression.ratio","cam.arrangement","Cylinder.arragement","Turbocharger","Varaible.Valve.Timing..VVT.","Cylinder.deactivation","Direct.injection","main.bearing.type","displacement","piston.type","Max..Torque","Peak.Power","Crankshaft.Design","Liner.Design.","TestA","TestB","TestA","TestB"
"1931",1931,1931,"fail",6,"f","L4","B","V5","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"1932",1932,1932,"pass",4,"d","L2","B","V1","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"1933",1933,1933,"pass",6,"f","L1","A","V6","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1934",1934,1934,"fail",6,"c","L3","B","V1","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1935",1935,1935,"pass",6,"c","L3","A","V3","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD2","LD1","pass","fail","pass","fail"
"1936",1936,1936,"pass",6,"d","L2","A","V6","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1937",1937,1937,"pass",8,"c","L4","C","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1938",1938,1938,"fail",8,"c","L2","C","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","low","high","CD2","LD1","pass","fail","pass","fail"
"1939",1939,1939,"fail",4,"e","L2","A","V1","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1940",1940,1940,"pass",4,"f","L1","A","V4","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1941",1941,1941,"pass",6,"f","L4","D","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1942",1942,1942,"fail",4,"c","L3","C","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1943",1943,1943,"pass",4,"c","L4","D","V4","gasoline","high","SOHC","inline","Yes","Yes","Yes","No","Roller","high","linear","high","high","CD2","LD1","pass","fail","pass","fail"
"1944",1944,1944,"pass",6,"f","L3","D","V3","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1945",1945,1945,"fail",4,"a","L1","C","V1","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","fail","pass","fail","pass"
"1946",1946,1946,"pass",6,"c","L1","D","V3","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1947",1947,1947,"fail",4,"c","L4","B","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1948",1948,1948,"pass",8,"c","L4","D","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"1949",1949,1949,"pass",6,"c","L1","C","V1","gasoline","low","SOHC","V","Yes","Yes","Yes","No","Roller","high","linear","high","low","CD2","LD1","pass","fail","pass","fail"
"1950",1950,1950,"fail",6,"a","L1","C","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"1951",1951,1951,"fail",8,"c","L1","B","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"1952",1952,1952,"fail",8,"c","L1","B","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1953",1953,1953,"pass",6,"f","L4","A","V1","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1954",1954,1954,"fail",4,"c","L4","C","V2","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1955",1955,1955,"pass",4,"d","L4","A","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1956",1956,1956,"pass",4,"a","L1","A","V4","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD2","LD1","fail","pass","fail","pass"
"1957",1957,1957,"pass",8,"c","L4","B","V2","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD2","fail","pass","fail","pass"
"1958",1958,1958,"fail",6,"f","L1","B","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1959",1959,1959,"fail",6,"d","L1","B","V5","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","low","high","CD1","LD2","fail","pass","fail","pass"
"1960",1960,1960,"pass",6,"c","L4","D","V1","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1961",1961,1961,"pass",8,"c","L4","C","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1962",1962,1962,"fail",6,"c","L4","B","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1963",1963,1963,"fail",4,"f","L2","D","V1","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1964",1964,1964,"pass",6,"c","L4","A","V3","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1965",1965,1965,"fail",4,"f","L1","A","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1966",1966,1966,"pass",8,"e","L4","C","V5","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1967",1967,1967,"pass",6,"f","L4","D","V3","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1968",1968,1968,"pass",4,"c","L4","D","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1969",1969,1969,"fail",6,"d","L1","C","V1","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1970",1970,1970,"pass",4,"a","L4","A","V5","gasoline","high","SOHC","inline","Yes","Yes","Yes","No","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1971",1971,1971,"pass",8,"c","L1","B","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"1972",1972,1972,"pass",6,"f","L1","B","V6","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1973",1973,1973,"fail",8,"a","L3","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1974",1974,1974,"pass",4,"a","L4","D","V2","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD2","fail","pass","fail","pass"
"1975",1975,1975,"pass",4,"c","L1","D","V3","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1976",1976,1976,"pass",8,"c","L4","C","V1","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","low","CD1","LD2","pass","fail","pass","fail"
"1977",1977,1977,"pass",6,"c","L1","A","V4","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD2","LD1","pass","fail","pass","fail"
"1978",1978,1978,"pass",8,"a","L2","D","V5","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1979",1979,1979,"fail",6,"c","L2","A","V1","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1980",1980,1980,"fail",8,"c","L2","B","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1981",1981,1981,"pass",4,"c","L3","D","V3","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1982",1982,1982,"fail",6,"c","L1","B","V2","gasoline","low","DOHC","V","Yes","Yes","No","No","Roller","high","rotary","high","low","CD1","LD1","fail","pass","fail","pass"
"1983",1983,1983,"pass",6,"c","L3","B","V6","gasoline","low","SOHC","inline","Yes","Yes","Yes","No","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1984",1984,1984,"fail",6,"f","L1","D","V6","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"1985",1985,1985,"fail",4,"f","L4","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"1986",1986,1986,"fail",4,"d","L3","C","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1987",1987,1987,"fail",8,"c","L3","C","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"1988",1988,1988,"fail",4,"a","L4","C","V6","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1989",1989,1989,"fail",6,"f","L3","B","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1990",1990,1990,"fail",6,"c","L2","C","V1","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"1991",1991,1991,"fail",6,"f","L2","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"1992",1992,1992,"pass",4,"c","L2","C","V2","petrol","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"1993",1993,1993,"pass",8,"e","L3","B","V1","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","low","CD1","LD2","pass","fail","pass","fail"
"1994",1994,1994,"pass",4,"c","L2","A","V2","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"1995",1995,1995,"fail",8,"d","L3","B","V5","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"1996",1996,1996,"pass",4,"c","L4","D","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD2","LD1","fail","pass","fail","pass"
"1997",1997,1997,"pass",4,"f","L4","D","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1998",1998,1998,"pass",8,"c","L1","D","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"1999",1999,1999,"pass",6,"c","L4","B","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2000",2000,2000,"pass",8,"c","L3","C","V4","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","pass","pass","pass","pass"
"2001",2001,2001,"pass",6,"c","L2","B","V3","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2002",2002,2002,"pass",8,"c","L4","C","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2003",2003,2003,"fail",4,"a","L1","A","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2004",2004,2004,"pass",6,"f","L4","B","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2005",2005,2005,"pass",4,"c","L4","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","pass","fail","pass","fail"
"2006",2006,2006,"fail",4,"c","L2","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2007",2007,2007,"pass",8,"c","L3","B","V6","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2008",2008,2008,"fail",4,"a","L2","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","pass","fail","pass","fail"
"2009",2009,2009,"fail",6,"a","L2","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","low","high","CD1","LD2","fail","pass","fail","pass"
"2010",2010,2010,"pass",4,"e","L4","B","V3","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2011",2011,2011,"fail",6,"a","L4","A","V6","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2012",2012,2012,"pass",6,"f","L1","B","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2013",2013,2013,"pass",4,"f","L1","B","V1","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD2","fail","pass","fail","pass"
"2014",2014,2014,"pass",6,"f","L4","D","V6","petrol","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2015",2015,2015,"pass",8,"c","L1","D","V2","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2016",2016,2016,"pass",4,"f","L4","C","V5","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2017",2017,2017,"fail",6,"c","L1","C","V4","gasoline","low","SOHC","inline","Yes","Yes","Yes","No","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2018",2018,2018,"pass",6,"c","L2","D","V3","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2019",2019,2019,"pass",4,"f","L4","D","V1","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2020",2020,2020,"fail",4,"c","L4","C","V6","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2021",2021,2021,"fail",8,"c","L1","A","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"2022",2022,2022,"pass",6,"f","L4","B","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2023",2023,2023,"pass",4,"f","L1","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2024",2024,2024,"fail",4,"c","L4","C","V2","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2025",2025,2025,"fail",4,"c","L4","B","V1","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2026",2026,2026,"fail",4,"c","L1","D","V2","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2027",2027,2027,"pass",6,"c","L1","A","V6","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2028",2028,2028,"fail",6,"f","L1","B","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2029",2029,2029,"fail",4,"a","L3","A","V6","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2030",2030,2030,"fail",4,"c","L4","B","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2031",2031,2031,"pass",4,"c","L2","C","V1","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2032",2032,2032,"fail",4,"a","L3","B","V5","gasoline","high","SOHC","V","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD2","LD2","pass","fail","pass","fail"
"2033",2033,2033,"pass",6,"f","L4","B","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"2034",2034,2034,"pass",8,"c","L1","B","V6","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","low","CD1","LD2","fail","pass","fail","pass"
"2035",2035,2035,"pass",6,"f","L2","D","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2036",2036,2036,"pass",4,"c","L2","A","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2037",2037,2037,"pass",6,"c","L1","D","V6","gasoline","low","SOHC","inline","Yes","Yes","Yes","No","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2038",2038,2038,"pass",4,"f","L2","B","V5","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2039",2039,2039,"pass",4,"f","L4","A","V4","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2040",2040,2040,"fail",6,"c","L1","B","V1","gasoline","low","SOHC","V","No","Yes","No","No","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2041",2041,2041,"pass",6,"c","L2","A","V5","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","high","CD2","LD1","fail","pass","fail","pass"
"2042",2042,2042,"fail",8,"d","L1","B","V5","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2043",2043,2043,"pass",8,"f","L3","C","V2","petrol","low","SOHC","V","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2044",2044,2044,"pass",4,"f","L1","B","V1","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2045",2045,2045,"fail",4,"a","L3","C","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2046",2046,2046,"fail",8,"c","L2","B","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2047",2047,2047,"pass",6,"f","L1","D","V6","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2048",2048,2048,"fail",4,"g","L4","B","V6","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2049",2049,2049,"pass",4,"c","L4","B","V6","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2050",2050,2050,"pass",6,"b","L3","D","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","pass","pass","pass"
"2051",2051,2051,"pass",4,"c","L4","B","V6","petrol","low","SOHC","V","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2052",2052,2052,"pass",8,"e","L4","D","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2053",2053,2053,"fail",8,"c","L4","B","V1","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2054",2054,2054,"pass",4,"f","L2","C","V6","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2055",2055,2055,"fail",4,"a","L2","B","V5","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","fail","pass","fail","pass"
"2056",2056,2056,"fail",4,"c","L1","A","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2057",2057,2057,"pass",8,"e","L4","C","V5","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","low","CD1","LD2","pass","fail","pass","fail"
"2058",2058,2058,"fail",8,"c","L3","A","V3","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2059",2059,2059,"fail",4,"f","L3","C","V4","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2060",2060,2060,"fail",8,"e","L3","D","V6","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2061",2061,2061,"pass",8,"c","L2","D","V3","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD2","LD1","fail","pass","fail","pass"
"2062",2062,2062,"fail",8,"c","L4","B","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
"2063",2063,2063,"pass",4,"f","L3","B","V1","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2064",2064,2064,"fail",4,"c","L1","D","V5","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD2","LD1","fail","pass","fail","pass"
"2065",2065,2065,"fail",4,"c","L1","D","V6","gasoline","high","DOHC","V","Yes","Yes","No","Yes","Roller","high","linear","low","high","CD2","LD1","fail","pass","fail","pass"
"2066",2066,2066,"pass",6,"f","L2","D","V6","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2067",2067,2067,"fail",8,"c","L2","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2068",2068,2068,"fail",4,"g","L4","C","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2069",2069,2069,"pass",6,"c","L2","D","V3","gasoline","low","SOHC","inline","Yes","Yes","No","No","Roller","high","linear","high","low","CD1","LD1","pass","fail","pass","fail"
"2070",2070,2070,"pass",8,"c","L4","B","V5","gasoline","high","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2071",2071,2071,"pass",8,"g","L4","C","V6","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD2","fail","pass","fail","pass"
"2072",2072,2072,"pass",4,"f","L4","B","V3","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2073",2073,2073,"pass",8,"c","L1","A","V2","gasoline","high","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2074",2074,2074,"fail",4,"c","L2","C","V5","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","fail","pass","fail"
"2075",2075,2075,"fail",8,"c","L1","B","V6","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2076",2076,2076,"fail",4,"c","L4","C","V2","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD1","LD1","fail","pass","fail","pass"
"2077",2077,2077,"pass",6,"f","L3","D","V2","gasoline","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2078",2078,2078,"fail",6,"f","L1","D","V4","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","fail","pass","fail","pass"
"2079",2079,2079,"pass",6,"f","L3","A","V6","petrol","low","SOHC","inline","Yes","Yes","Yes","Yes","Roller","high","linear","high","high","CD1","LD1","fail","pass","fail","pass"
"2080",2080,2080,"pass",4,"c","L4","D","V2","gasoline","low","SOHC","V","Yes","Yes","No","Yes","Roller","high","linear","high","low","CD2","LD1","fail","pass","fail","pass"
"2081",2081,2081,"pass",8,"c","L1","C","V4","gasoline","low","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD1","pass","pass","pass","pass"
"2082",2082,2082,"fail",8,"c","L3","B","V3","gasoline","high","SOHC","inline","Yes","Yes","No","Yes","Roller","high","linear","high","high","CD1","LD2","pass","fail","pass","fail"
